------ 1983-1984 Atlanta Hawks Roster Composition ------
Eddie Johnson, Jr.
Tree Rollins
Doc Rivers
Dominique Wilkins
Randy Wittman
Rickey Brown
Sly Williams
George Johnson
Johnny Davis
Scott Hastings
Mark Landsberger
Billy Paultz
Mike Glenn
Dan Roundfield
------ 1983-1984 Boston Celtics Roster Composition ------
Greg Kite
Cedric Maxwell
Kevin McHale
Larry Bird
Carlos Clark
Danny Ainge
Robert Parish
Dennis Johnson
Quinn Buckner
Scott Wedman
Gerald Henderson
M.L. Carr
------ 1983-1984 Chicago Bulls Roster Composition ------
David Greenwood
Orlando Woolridge
Rod Higgins
Sidney Green
Quintin Dailey
Wallace Bryant
Ronnie Lester
Ennis Whatley
Mitchell Wiggins
Steve Johnson
Dave Corzine
Jawann Oldham
------ 1983-1984 Cleveland Cavaliers Roster Composition ------
John Garris
Stewart Granger
Paul Thompson
John Bagley
Roy Hinson
Phil Hubbard
Jeff Cook
Ben Poquette
Cliff Robinson
Geoff Huston
World B. Free
Lonnie Shelton
Geff Crompton
------ 1983-1984 Dallas Mavericks Roster Composition ------
Bill Garnett
Rolando Blackman
Mark West
Dale Ellis
Jay Vincent
Elston Turner
Derek Harper
Mark Aguirre
Pat Cummings
Jim Spanarkel
Brad Davis
Roger Phegley
Kurt Nimphius
------ 1983-1984 Denver Nuggets Roster Composition ------
Dan Issel
Howard Carter
Rob Williams
Kiki Vandeweghe
Bill Hanzlik
T.R. Dunn
Danny Schayes
Alex English
Richard Anderson
Keith Edmonson
Anthony Roberts
Mike Evans
------ 1983-1984 Detroit Pistons Roster Composition ------
John Long
Kelly Tripucka
Terry Tyler
Isiah Thomas
Cliff Levingston
Kent Benson
Bill Laimbeer
Ray Tolbert
David Thirdkill
Vinnie Johnson
Lionel Hollins
Earl Cureton
------ 1983-1984 Golden State Warriors Roster Composition ------
Chris Engler
Pace Mannion
Joe Barry Carroll
Larry Smith
Purvis Short
Lester Conner
Russell Cross
Sleepy Floyd
Darren Tillis
Mickey Johnson
Don Collins
Mike Bratz
------ 1983-1984 Houston Rockets Roster Composition ------
Allen Leavell
Craig Ehlo
Rodney McCray
Terry Teagle
Ralph Sampson
Robert Reid
Wally Walker
Caldwell Jones
Elvin Hayes
James Bailey
Phil Ford
Lewis Lloyd
Major Jones
------ 1983-1984 Indiana Pacers Roster Composition ------
Herb Williams
Leroy Combs
Steve Stipanovich
Jim Thomas
Clark Kellogg
Sidney Lowe
Granville Waiters
Brook Steppe
Butch Carter
Vince Taylor
George Johnson
Jerry Sichting
Kevin McKenna
------ 1983-1984 Kansas City Kings Roster Composition ------
Eddie Johnson
Ed Nealy
LaSalle Thompson
Larry Micheaux
Mike Woodson
Mark Olberding
Billy Knight
Joe C. Meriweather
Larry Drew
Reggie Theus
Don Buse
Dane Suttle
Dave Robisch
------ 1983-1984 Los Angeles Lakers Roster Composition ------
Michael Cooper
Magic Johnson
Mike McGee
James Worthy
Byron Scott
Swen Nater
Kareem Abdul-Jabbar
Bob McAdoo
Larry Spriggs
Kurt Rambis
Jamaal Wilkes
Calvin Garrett
Eddie Jordan
Mitch Kupchak
------ 1983-1984 Milwaukee Bucks Roster Composition ------
Paul Pressey
Marques Johnson
Sidney Moncrief
Randy Breuer
Alton Lister
Junior Bridgeman
Kevin Grevey
Bob Lanier
Harvey Catchings
Paul Mokeski
Mike Dunleavy, Sr.
Lorenzo Romar
Tiny Archibald
------ 1983-1984 New Jersey Nets Roster Composition ------
Buck Williams
Mike O'Koren
Mike Gminski
Albert King
Reggie Johnson
Darryl Dawkins
Micheal Ray Richardson
Kelvin Ransey
Otis Birdsong
Darwin Cook
Foots Walker
Bill Willoughby
------ 1983-1984 New York Knicks Roster Composition ------
Trent Tucker
Darrell Walker
Bill Cartwright
Len Elmore
Bernard King
Truck Robinson
Rory Sparrow
Ray Williams
Campy Russell
Marvin Webster
Eric Fernsten
Ernie Grunfeld
Louis Orr
------ 1983-1984 Philadelphia Sixers Roster Composition ------
Julius Erving
Clint Richardson
Sedale Threatt
Leo Rautins
Franklin Edwards
Andrew Toney
Mo Cheeks
Clemon Johnson
Bobby Jones
Moses Malone
Sam Williams
Wes Matthews
Marc Iavaroni
------ 1983-1984 Phoenix Suns Roster Composition ------
Larry Nance
Alvan Adams
Rod Foster
Walter Davis
Alvin Scott
Kyle Macy
Maurice Lucas
James Edwards
Rick Robey
Charles Pittman
Paul Westphal
Mike Sanders
------ 1983-1984 Portland Trail Blazers Roster Composition ------
Jim Paxson
Mychal Thompson
Fat Lever
Clyde Drexler
