------ 1998-1999 Atlanta Hawks Roster Composition ------
Ed Gray
Roshown McLeod
Alan Henderson
Chris Crawford
Mookie Blaylock
Steve Smith
Mark West
LaPhonso Ellis
Tyrone Corbin
Jeff Sheppard
Dikembe Mutombo
Grant Long
Anthony Johnson
------ 1998-1999 Boston Celtics Roster Composition ------
Paul Pierce
Antoine Walker
Ron Mercer
Walter McCarty
Vitaly Potapenko
Kenny Anderson
Popeye Jones
Tony Battie
Bruce Bowen
Eric Riley
Dwayne Schintzius
Dana Barros
Greg Minor
Damon Jones
Pervis Ellison
------ 1998-1999 Charlotte Hornets Roster Composition ------
Ricky Davis
Elden Campbell
Anthony Mason
Eddie Jones
Charles Shackleford
Corey Beck
Bobby Phills
Chucky Brown
David Wesley
Brad Miller
Chuck Person
Derrick Coleman
Eldridge Recasner
------ 1998-1999 Chicago Bulls Roster Composition ------
Toni Kukoc
Corey Benjamin
Keith Booth
Corry Carr
Mark Bryant
Andrew Lang
Ron Harper
Rusty LaRue
Dickey Simpkins
Brent Barry
Jeff Sanders
Charles R. Jones
Bill Wennington
Randy Brown
Kornel David
------ 1998-1999 Cleveland Cavaliers Roster Composition ------
Derek Anderson
Ryan Stack
Cedric Henderson
Zydrunas Ilgauskas
Bob Sura
Brevin Knight
Danny Ferry
Wesley Person
Andrew DeClercq
Shawn Kemp
Johnny Newman
Earl Boykins
Corie Blount
Mitchell Butler
------ 1998-1999 Dallas Mavericks Roster Composition ------
Ansu Sesay
Bruno Sundov
Samaki Walker
Dirk Nowitzki
Chris Anstey
Robert Pack
Shawn Bradley
Michael Finley
Cedric Ceballos
A.C. Green
Steve Nash
Hot Rod Williams
Erick Strickland
Hubert Davis
Gary Trent
------ 1998-1999 Denver Nuggets Roster Composition ------
Bryant Stith
Raef LaFrentz
Keon Clark
Eric Washington
Danny Fortson
Johnny Taylor
Chauncey Billups
Nick Van Exel
Eric Williams
Antonio McDyess
Cory Alexander
Carl Herrera
Kelly McCarty
Loren Meyer
------ 1998-1999 Detroit Pistons Roster Composition ------
Lindsey Hunter
Korleone Young
Jerome Williams
Grant Hill
Joe Dumars
Don Reid
Eric Montross
Christian Laettner
Jerry Stackhouse
Charles O'Bannon
Loy Vaught
Khalid Reeves
Jud Buechler
Bison Dele
------ 1998-1999 Golden State Warriors Roster Composition ------
Adonal Foyle
Antawn Jamison
Duane Ferrell
Felton Spencer
Terry Cummings
Chris Mills
Jason Caffey
Muggsy Bogues
Tony Delk
Bimbo Coles
Donyell Marshall
Erick Dampier
John Starks
------ 1998-1999 Houston Rockets Roster Composition ------
Hakeem Olajuwon
Othella Harrington
Bryce Drew
Cuttino Mobley
Michael Dickerson
Charles Barkley
Scottie Pippen
Sam Mack
Stanley Roberts
Eddie Johnson
Matt Maloney
Antoine Carr
Matt Bullard
Pig Miller
Brent Price
------ 1998-1999 Indiana Pacers Roster Composition ------
Mark Pope
Fred Hoiberg
Travis Best
Reggie Miller
Rik Smits
Antonio Davis
Austin Croshere
Al Harrington
Dale Davis
Chris Mullin
Jalen Rose
Mark Jackson
Derrick McKey
Mate Skelin
Sam Perkins
------ 1998-1999 Los Angeles Clippers Roster Composition ------
Lorenzen Wright
Mo Taylor
Lamond Murray
Brian Skinner
Michael Olowokandi
Eric Piatkowski
Stojko Vrankovic
Pooh Richardson
Charles Cornelius Smith
Rodney Rogers
Darrick Martin
Keith Closs
Tyrone Nesby
Sherman Douglas
Troy Hudson
------ 1998-1999 Los Angeles Lakers Roster Composition ------
Ruben Patterson
Sam Jacobson
Derek Fisher
Tyronn Lue
Kobe Bryant
Glen Rice
J.R. Reid
Travis Knight
Robert Horry
Rick Fox
Derek Harper
Shaquille O'Neal
Sean Rooks
------ 1998-1999 Miami Heat Roster Composition ------
Duane Causwell
Alonzo Mourning
Jamal Mashburn
Tim Hardaway
Keith Askins
Terry Porter
P.J. Brown
Terry Mills
Clarence Weatherspoon
Marty Conlon
Voshon Lenard
Mark Strickland
Mark Davis
Rex Walters
Dan Majerle
Blue Edwards
------ 1998-1999 Milwaukee Bucks Roster Composition ------
Glenn Robinson
Robert Traylor
Ray Allen
Ervin Johnson
