------ 2004-2005 Atlanta Hawks Roster Composition ------
Boris Diaw
Josh Childress
Royal Ivey
Donta Smith
Josh Smith
Tyronn Lue
Peja Drobnjak
Michael Stewart
Tom Gugliotta
Tony Delk
Al Harrington
Jason Collier
Kevin Willis
Obinna Ekezie
James Thomas
------ 2004-2005 Boston Celtics Roster Composition ------
Tony Allen
Justin Reed
Paul Pierce
Delonte West
Al Jefferson
Kendrick Perkins
Marcus Banks
Ricky Davis
Raef LaFrentz
Mark Blount
Antoine Walker
Gary Payton
------ 2004-2005 Charlotte Bobcats Roster Composition ------
Bernard Robinson
Emeka Okafor
Melvin Ely
Keith Bogans
Kareem Rush
Malik Allen
Primoz Brezec
Tamar Slay
Gerald Wallace
Jason Kapono
Jason Hart
Cory Alexander
Matt Carroll
Brevin Knight
------ 2004-2005 Chicago Bulls Roster Composition ------
Chris Duhon
Eddy Curry
Kirk Hinrich
Ben Gordon
Tyson Chandler
Luol Deng
Othella Harrington
Adrian Griffin
Antonio Davis
Frankie Williams
Eric Piatkowski
Andres Nocioni
Jared Reiner
Jannero Pargo
Lawrence Funderburke
------ 2004-2005 Cleveland Cavaliers Roster Composition ------
Luke Jackson
LeBron James
Zydrunas Ilgauskas
DeSagana Diop
Dajuan Wagner
Anderson Varejao
Sasha Pavlovic
Drew Gooden
Jiri Welsch
Eric Snow
Jeff McInnis
Ira Newble
Lucious Harris
Scott Williams
Robert Traylor
------ 2004-2005 Dallas Mavericks Roster Composition ------
Josh Howard
Devin Harris
Pavel Podkolzin
Dirk Nowitzki
Darrell Armstrong
Jason Terry
Shawn Bradley
Tariq Abdul-Wahad
Michael Finley
Keith Van Horn
Jerry Stackhouse
Erick Dampier
D.J. Mbenga
Alan Henderson
Marquis Daniels
------ 2004-2005 Denver Nuggets Roster Composition ------
Carmelo Anthony
Francisco Elson
Nene Hilario
Eduardo Najera
Marcus Camby
Kenyon Martin
Luis Flores
Mark Pope
Wesley Person
Andre Miller
Voshon Lenard
DerMarr Johnson
Greg Buckner
Earl Boykins
Bryon Russell
------ 2004-2005 Detroit Pistons Roster Composition ------
Tayshaun Prince
Darko Milicic
Carlos Delfino
Carlos Arroyo
Ben Wallace
Rasheed Wallace
Richard Hamilton
Chauncey Billups
Horace Jenkins
Antonio McDyess
Elden Campbell
Ronald Dupree
Lindsey Hunter
Darvin Ham
------ 2004-2005 Golden State Warriors Roster Composition ------
Adonal Foyle
Andris Biedrins
Mickael Pietrus
Jason Richardson
Troy Murphy
Mike Dunleavy
Rodney White
Zarko Cabarkapa
Nikoloz Tskitishvili
Baron Davis
Calbert Cheaney
Derek Fisher
------ 2004-2005 Houston Rockets Roster Composition ------
Yao Ming
Vin Baker
Jon Barry
Tracy McGrady
Clarence Weatherspoon
Mike James
David Wesley
Dikembe Mutombo
Moochie Norris
Juwan Howard
Ryan Bowen
Charlie Ward
Torraye Braggs
Bob Sura
Scott Padgett
------ 2004-2005 Indiana Pacers Roster Composition ------
David Harrison
Reggie Miller
Fred Jones
Austin Croshere
James Jones
Jamaal Tinsley
Jonathan Bender
Jeff Foster
Scot Pollard
Stephen Jackson
Metta World Peace
Jermaine O'Neal
Eddie Gill
John Edwards
Anthony Johnson
Dale Davis
------ 2004-2005 Los Angeles Clippers Roster Composition ------
Lionel Chalmers
Marko Jaric
Chris Kaman
Chris Wilcox
Shaun Livingston
Kerry Kittles
Elton Brand
Corey Maggette
Mikki Moore
Bobby Simmons
Rick Brunson
Mamadou N'Diaye
Zeljko Rebraca
Quinton Ross
------ 2004-2005 Los Angeles Lakers Roster Composition ------
Devean George
Luke Walton
Brian Cook
Sasha Vujacic
Kobe Bryant
Chris Mihm
Brian Grant
Jumaine Jones
Lamar Odom
Caron Butler
Chucky Atkins
Tony Bobbitt
Vlade Divac
Tierre Brown
Slava Medvedenko
------ 2004-2005 Memphis Grizzlies Roster Composition ------
Stromile Swift
Shane Battier
Antonio Burks
Pau Gasol
Andre Emmett
Dahntay Jones
Ryan Humphrey
Bonzi Wells
Jason Williams
Lorenzen Wright
Mike Miller
Jake Tsakalidis
Brian Cardinal
Earl Watson
James Posey
------ 2004-2005 Miami Heat Roster Composition ------
Dwyane Wade
Dorell Wright
Rasual Butler
Steve Smith
Shaquille O'Neal
Eddie Jones
Qyntel Woods
Alonzo Mourning
Michael Doleac
Zhizhi Wang
Keyon Dooling
Shandon Anderson
Damon Jones
Christian Laettner
Udonis Haslem
------ 2004-2005 Milwaukee Bucks Roster Composition ------
Michael Redd
Dan Gadzuric
T.J. Ford
Calvin Booth
Zaza Pachulia
Toni Kukoc
Joe Smith
Desmond Mason
Reece Gaines
Anthony Goldwire
Mo Williams
Marcus Fizer
Daniel Santiago
Erick Strickland
------ 2004-2005 Minnesota Timberwolves Roster Composition ------
Wally Szczerbiak
Kevin Garnett
Ndudi Ebi
Latrell Sprewell
Ervin Johnson
Sam Cassell
Fred Hoiberg
Anthony Carter
Eddie Griffin
John Thomas
Trenton Hassell
Mark Madsen
Troy Hudson
Michael Olowokandi
------ 2004-2005 New Jersey Nets Roster Composition ------
Zoran Planinic
Brian Scalabrine
Nenad Krstic
Richard Jefferson
Jason Collins
Cliff Robinson
Vince Carter
Jason Kidd
Jacque Vaughn
Travis Best
Billy Thomas
Rodney Buford
Jabari Smith
Ron Mercer
------ 2004-2005 New Orleans Hornets Roster Composition ------
Jamaal Magloire
J.R. Smith
David West
Dan Dickau
P.J. Brown
Jackson Vroman
Bostjan Nachbar
Casey Jacobsen
Speedy Claxton
Maciej Lampe
George Lynch
Lee Nailon
Chris Andersen
------ 2004-2005 New York Knicks Roster Composition ------
Mike Sweetney
Trevor Ariza
Jamal Crawford
Malik Rose
Mo Taylor
Tim Thomas
Jerome Williams
Stephon Marbury
Penny Hardaway
Kurt Thomas
Bruno Sundov
Jermaine Jackson
Jackie Butler
Allan Houston
------ 2004-2005 Orlando Magic Roster Composition ------
Dwight Howard
Jameer Nelson
Mario Kasun
DeShawn Stevenson
Brandon Hunter
Andrew DeClercq
Pat Garrity
Steve Francis
Grant Hill
Tony Battie
Doug Christie
Kelvin Cato
Andre Barrett
Stacey Augmon
Hedo Turkoglu
Mark Jones
------ 2004-2005 Philadelphia Sixers Roster Composition ------
Samuel Dalembert
Andre Iguodala
Allen Iverson
John Salmons
Kyle Korver
Willie Green
Michael Bradley
Kevin Ollie
Rodney Rogers
Aaron McKie
Marc Jackson
Jamal Mashburn
Matt Barnes
Chris Webber
Josh Davis
------ 2004-2005 Phoenix Suns Roster Composition ------
Amar'e Stoudemire
Shawn Marion
Leandro Barbosa
Jake Voskuhl
Joe Johnson
Walter McCarty
Jim Jackson
Paul Shirley
Quentin Richardson
Steve Nash
Bo Outlaw
Steven Hunter
------ 2004-2005 Portland Trail Blazers Roster Composition ------
Zach Randolph
Ha Seung-Jin
Sebastian Telfair
Travis Outlaw
Viktor Khryapa
Nick Van Exel
Derek Anderson
Shareef Abdur-Rahim
Darius Miles
Theo Ratliff
Damon Stoudamire
Joel Przybilla
Richie Frahm
Ruben Patterson
------ 2004-2005 Sacramento Kings Roster Composition ------
Kevin Martin
Peja Stojakovic
Darius Songaila
Kenny Thomas
Corliss Williamson
Brian Skinner
Cuttino Mobley
Brad Miller
Mike Bibby
Eddie House
Erik Daniels
Greg Ostertag
Maurice Evans
Bobby Jackson
------ 2004-2005 San Antonio Spurs Roster Composition ------
Manu Ginobili
Tim Duncan
Beno Udrih
Tony Parker
Nazr Mohammed
Bruce Bowen
Tony Massenburg
Robert Horry
Rasho Nesterovic
Mike Wilks
Linton Johnson
Sean Marks
Glenn Robinson
Brent Barry
Devin Brown
------ 2004-2005 Seattle SuperSonics Roster Composition ------
Nick Collison
Rashard Lewis
Robert Swift
Luke Ridnour
Vladimir Radmanovic
Vitaly Potapenko
Ray Allen
Flip Murray
Danny Fortson
Jerome James
Reggie Evans
Damien Wilkins
Mateen Cleaves
Antonio Daniels
------ 2004-2005 Toronto Raptors Roster Composition ------
Chris Bosh
Morris Peterson
Babby Araujo
Matt Bonner
Pape Sow
Lamond Murray
Alvin Williams
Eric Williams
Donyell Marshall
Jalen Rose
Aaron Williams
Omar Cook
Rafer Alston
Loren Woods
Milt Palacio
------ 2004-2005 Utah Jazz Roster Composition ------
Andrei Kirilenko
Kris Humphries
Raul Lopez
Jarron Collins
Kirk Snyder
Curtis Borchardt
Gordan Giricek
Raja Bell
Mehmet Okur
Howard Eisley
Ben Handlogten
Carlos Boozer
Matt Harpring
Keith McLeod
Randy Livingston
------ 2004-2005 Washington Wizards Roster Composition ------
Kwame Brown
Juan Dixon
Jarvis Hayes
Peter John Ramos
Steve Blake
Jared Jeffries
Brendan Haywood
Etan Thomas
Antawn Jamison
Michael Ruffin
Anthony Peeler
Gilbert Arenas
Damone Brown
Laron Profit
Larry Hughes
