------ 2015-2016 Atlanta Hawks Roster Composition ------
Edy Tavares
Jeff Teague
Al Horford
Mike Scott
Dennis Schroder
Lamar Patterson
Mike Muscala
Tiago Splitter
Kyle Korver
Kirk Hinrich
Tim Hardaway Jr.
Thabo Sefolosha
Kent Bazemore
Paul Millsap
Kris Humphries
------ 2015-2016 Boston Celtics Roster Composition ------
Avery Bradley
Jared Sullinger
Terry Rozier
Jordan Mickey
James Young
R.J. Hunter
Marcus Smart
Kelly Olynyk
Jonas Jerebko
Isaiah Thomas
Jae Crowder
Tyler Zeller
Amir Johnson
Evan Turner
John Holland
------ 2015-2016 Brooklyn Nets Roster Composition ------
Chris McCullough
Brook Lopez
Bojan Bogdanovic
Markel Brown
Rondae Hollis-Jefferson
Sergey Karasev
Thaddeus Young
Jarrett Jack
Willie Reed
Shane Larkin
Thomas Robinson
Donald Sloan
Wayne Ellington
Sean Kilpatrick
Henry Sims
------ 2015-2016 Charlotte Hornets Roster Composition ------
Michael Kidd-Gilchrist
Frank Kaminsky
Cody Zeller
Kemba Walker
Jeremy Lamb
Nicolas Batum
Troy Daniels
Spencer Hawes
Courtney Lee
Tyler Hansbrough
Jeremy Lin
Jorge Gutierrez
Aaron Harrison
Marvin Williams
Al Jefferson
------ 2015-2016 Chicago Bulls Roster Composition ------
Cameron Bairstow
Jimmy Butler
Bobby Portis
Joakim Noah
Derrick Rose
Taj Gibson
Tony Snell
Nikola Mirotic
Doug McDermott
Justin Holiday
Pau Gasol
Cristiano Felicio
E'Twaun Moore
Aaron Brooks
Mike Dunleavy
------ 2015-2016 Cleveland Cavaliers Roster Composition ------
Tristan Thompson
Kyrie Irving
Sasha Kaun
Iman Shumpert
Timofey Mozgov
J.R. Smith
Kevin Love
Channing Frye
LeBron James
Dahntay Jones
Mo Williams
Matt Dellavedova
Jordan McRae
Richard Jefferson
James Jones
------ 2015-2016 Dallas Mavericks Roster Composition ------
Justin Anderson
Dirk Nowitzki
Raymond Felton
Dwight Powell
Zaza Pachulia
Salah Mejri
JaVale McGee
Wesley Matthews
Jeremy Evans
David Lee
Charlie Villanueva
J.J. Barea
Devin Harris
Chandler Parsons
Deron Williams
------ 2015-2016 Denver Nuggets Roster Composition ------
Nikola Jokic
Emmanuel Mudiay
Kenneth Faried
Joffrey Lauvergne
Jusuf Nurkic
Gary Harris
Jameer Nelson
Danilo Gallinari
Darrell Arthur
D.J. Augustin
Wilson Chandler
Will Barton
Axel Toupane
JaKarr Sampson
Mike Miller
------ 2015-2016 Detroit Pistons Roster Composition ------
Kentavious Caldwell-Pope
Spencer Dinwiddie
Andre Drummond
Stanley Johnson
Darrun Hilliard
Reggie Bullock
Tobias Harris
Anthony Tolliver
Steve Blake
Marcus Morris
Reggie Jackson
Joel Anthony
Aron Baynes
Lorenzo Brown
Jodie Meeks
------ 2015-2016 Golden State Warriors Roster Composition ------
Festus Ezeli
Stephen Curry
Klay Thompson
Harrison Barnes
Draymond Green
Kevon Looney
Andrew Bogut
Andre Iguodala
James McAdoo
Ian Clark
Marreese Speights
Brandon Rush
Leandro Barbosa
Anderson Varejao
Shaun Livingston
------ 2015-2016 Houston Rockets Roster Composition ------
Clint Capela
Terrence Jones
Montrezl Harrell
Sam Dekker
Donatas Motiejunas
Jason Terry
K.J. McDaniels
Trevor Ariza
Corey Brewer
Josh Smith
James Harden
Dwight Howard
Andrew Goudelock
Michael Beasley
Patrick Beverley
------ 2015-2016 Indiana Pacers Roster Composition ------
Joe Young
Paul George
Solomon Hill
Myles Turner
Rakeem Christmas
Lavoy Allen
George Hill
Ian Mahinmi
C.J. Miles
Monta Ellis
Ty Lawson
Glenn Robinson
Jordan Hill
Rodney Stuckey
Shayne Whittington
------ 2015-2016 Los Angeles Clippers Roster Composition ------
Blake Griffin
DeAndre Jordan
C.J. Wilcox
Branden Dawson
Austin Rivers
Jeff Green
Chris Paul
J.J. Redick
Jamal Crawford
Luc Mbah a Moute
Wesley Johnson
Paul Pierce
Pablo Prigioni
Jeff Ayres
Cole Aldrich
------ 2015-2016 Los Angeles Lakers Roster Composition ------
Julius Randle
Ryan Kelly
D'Angelo Russell
Robert Sacre
Larry Nance, Jr.
Anthony Brown
Jordan Clarkson
Kobe Bryant
Roy Hibbert
Lou Williams
Brandon Bass
Marcelinho Huertas
Nick Young
Metta World Peace
------ 2015-2016 Memphis Grizzlies Roster Composition ------
Mike Conley
Jarell Martin
Jordan Adams
Marc Gasol
Lance Stephenson
Chris Andersen
Zach Randolph
Matt Barnes
P.J. Hairston
Tony Allen
Jordan Farmar
Vince Carter
Xavier Munford
Bryce Cotton
Brandan Wright
JaMychal Green
------ 2015-2016 Miami Heat Roster Composition ------
Dwyane Wade
Josh Richardson
Justise Winslow
Goran Dragic
Chris Bosh
Luol Deng
Tyler Johnson
Joe Johnson
Josh McRoberts
Briante Weber
Hassan Whiteside
Dorell Wright
Amar'e Stoudemire
Gerald Green
Udonis Haslem
------ 2015-2016 Milwaukee Bucks Roster Composition ------
Jabari Parker
Giannis Antetokounmpo
Damien Inglis
Johnny O'Bryant
Rashad Vaughn
John Henson
Khris Middleton
Miles Plumlee
Greivis Vasquez
Tyler Ennis
Michael Carter-Williams
O.J. Mayo
Steve Novak
Jerryd Bayless
Greg Monroe
------ 2015-2016 Minnesota Timberwolves Roster Composition ------
Nikola Pekovic
Zach LaVine
Ricky Rubio
Karl-Anthony Towns
Shabazz Muhammad
Tyus Jones
Nemanja Bjelica
Gorgui Dieng
Damjan Rudez
Kevin Garnett
Andrew Wiggins
Adreian Payne
Tayshaun Prince
Greg Smith
------ 2015-2016 New Orleans Pelicans Roster Composition ------
Anthony Davis
Jrue Holiday
Norris Cole
Tyreke Evans
Omer Asik
Ryan Anderson
Quincy Pondexter
Eric Gordon
Bryce Dejean-Jones
Alexis Ajinca
Dante Cunningham
Luke Babbitt
Alonzo Gee
Jordan Hamilton
Toney Douglas
Kendrick Perkins
James Ennis
Tim Frazier
------ 2015-2016 New York Knicks Roster Composition ------
Cleanthony Early
Kristaps Porzingis
Jerian Grant
Carmelo Anthony
Kyle O'Quinn
Jose Calderon
Lance Thomas
Lou Amundson
Sasha Vujacic
Robin Lopez
Arron Afflalo
Kevin Seraphin
Tony Wroten
Derrick Williams
Langston Galloway
------ 2015-2016 Oklahoma City Thunder Roster Composition ------
Nick Collison
Cameron Payne
Serge Ibaka
Steven Adams
Russell Westbrook
Mitch McGary
Josh Huestis
Kevin Durant
Andre Roberson
Enes Freedom
Randy Foye
Kyle Singler
Dion Waiters
Nazr Mohammed
Anthony Morrow
------ 2015-2016 Orlando Magic Roster Composition ------
Aaron Gordon
Andrew Nicholson
Mario Hezonja
Victor Oladipo
Devyn Marble
Elfrid Payton
Brandon Jennings
Ersan Ilyasova
Shabazz Napier
Evan Fournier
Nikola Vucevic
C.J. Watson
Jason Smith
Dewayne Dedmon
------ 2015-2016 Philadelphia Sixers Roster Composition ------
Richaun Holmes
Jahlil Okafor
Jerami Grant
Joel Embiid
Nerlens Noel
Carl Landry
Ish Smith
Isaiah Canaan
Nik Stauskas
Elton Brand
Robert Covington
Hollis Thompson
Kendall Marshall
T.J. McConnell
Christian Wood
------ 2015-2016 Phoenix Suns Roster Composition ------
T.J. Warren
Devin Booker
Alex Len
Archie Goodwin
Jon Leuer
Brandon Knight
Eric Bledsoe
John Jenkins
Tyson Chandler
P.J. Tucker
Chase Budinger
Ronnie Price
Alan Williams
Mirza Teletovic
------ 2015-2016 Portland Trail Blazers Roster Composition ------
Meyers Leonard
C.J. McCollum
Damian Lillard
Pat Connaughton
Allen Crabbe
Maurice Harkless
Brian Roberts
Gerald Henderson
Mason Plumlee
Noah Vonleh
Al-Farouq Aminu
Luis Montero
Cliff Alexander
Chris Kaman
Ed Davis
------ 2015-2016 Sacramento Kings Roster Composition ------
Ben McLemore
DeMarcus Cousins
Willie Cauley-Stein
Rudy Gay
Duje Dukan
Darren Collison
Seth Curry
Omri Casspi
Eric Moreland
Quincy Acy
Kosta Koufos
Marco Belinelli
James Anderson
Caron Butler
Rajon Rondo
------ 2015-2016 San Antonio Spurs Roster Composition ------
Manu Ginobili
Tim Duncan
Kyle Anderson
Tony Parker
Kawhi Leonard
Matt Bonner
Boris Diaw
Danny Green
Patty Mills
David West
Kevin Martin
Boban Marjanovic
Andre Miller
Jonathon Simmons
LaMarcus Aldridge
------ 2015-2016 Toronto Raptors Roster Composition ------
Bruno Caboclo
DeMar DeRozan
Terrence Ross
Delon Wright
Jonas Valanciunas
Norman Powell
Lucas Nogueira
Patrick Patterson
Kyle Lowry
Cory Joseph
James Johnson
DeMarre Carroll
Jason Thompson
Bismack Biyombo
Luis Scola
------ 2015-2016 Utah Jazz Roster Composition ------
Gordon Hayward
Alec Burks
Rodney Hood
Dante Exum
Trey Lyles
Raulzinho Neto
Trey Burke
Rudy Gobert
Tibor Pleiss
Derrick Favors
Shelvin Mack
Jeff Withey
Trevor Booker
Joe Ingles
Chris Johnson
------ 2015-2016 Washington Wizards Roster Composition ------
Otto Porter
Bradley Beal
John Wall
Kelly Oubre, Jr.
Markieff Morris
Jared Dudley
Ramon Sessions
Marcin Gortat
Nene Hilario
Alan Anderson
Marcus Thornton
Jarell Eddie
Drew Gooden
Garrett Temple
J.J. Hickson
