------ 2016-2017 Atlanta Hawks Roster Composition ------
DeAndre' Bembry
Dennis Schroder
Mike Muscala
Taurean Prince
Ersan Ilyasova
Mike Dunleavy
Tim Hardaway Jr.
Thabo Sefolosha
Jose Calderon
Kent Bazemore
Paul Millsap
Kris Humphries
Dwight Howard
Ryan Kelly
Malcolm Delaney
------ 2016-2017 Boston Celtics Roster Composition ------
Jaylen Brown
Avery Bradley
Terry Rozier
Jordan Mickey
Demetrius Jackson
James Young
Marcus Smart
Kelly Olynyk
Jonas Jerebko
Isaiah Thomas
Jae Crowder
Tyler Zeller
Amir Johnson
Gerald Green
Al Horford
------ 2016-2017 Brooklyn Nets Roster Composition ------
Brook Lopez
Caris LeVert
Isaiah Whitehead
Rondae Hollis-Jefferson
K.J. McDaniels
Andrew Nicholson
Jeremy Lin
Archie Goodwin
Trevor Booker
Quincy Acy
Spencer Dinwiddie
Sean Kilpatrick
Randy Foye
Joe Harris
Justin Hamilton
------ 2016-2017 Charlotte Hornets Roster Composition ------
Michael Kidd-Gilchrist
Frank Kaminsky
Cody Zeller
Kemba Walker
Miles Plumlee
Nicolas Batum
Marco Belinelli
Jeremy Lamb
Brian Roberts
Treveon Graham
Ramon Sessions
Briante Weber
Johnny O'Bryant
Christian Wood
Marvin Williams
------ 2016-2017 Chicago Bulls Roster Composition ------
Jimmy Butler
Bobby Portis
Paul Zipser
Denzel Valentine
Nikola Mirotic
Cameron Payne
Joffrey Lauvergne
Robin Lopez
Michael Carter-Williams
Anthony Morrow
Jerian Grant
Dwyane Wade
Cristiano Felicio
Isaiah Canaan
Rajon Rondo
------ 2016-2017 Cleveland Cavaliers Roster Composition ------
Tristan Thompson
Kyrie Irving
Kay Felder
Iman Shumpert
Kyle Korver
J.R. Smith
Kevin Love
Channing Frye
Edy Tavares
LeBron James
Dahntay Jones
Derrick Williams
Richard Jefferson
James Jones
Deron Williams
------ 2016-2017 Dallas Mavericks Roster Composition ------
A.J. Hammons
Dirk Nowitzki
Nerlens Noel
Dwight Powell
DeAndre Liggins
Dorian Finney-Smith
Salah Mejri
Wesley Matthews
Yogi Ferrell
Jarrod Uthoff
Seth Curry
Nicolas Brussino
J.J. Barea
Devin Harris
Harrison Barnes
------ 2016-2017 Denver Nuggets Roster Composition ------
Juancho Hernangomez
Emmanuel Mudiay
Malik Beasley
Kenneth Faried
Nikola Jokic
Jamal Murray
Gary Harris
Jameer Nelson
Roy Hibbert
Danilo Gallinari
Darrell Arthur
Mason Plumlee
Wilson Chandler
Will Barton
Mike Miller
------ 2016-2017 Detroit Pistons Roster Composition ------
Kentavious Caldwell-Pope
Michael Patrick Gbinije
Henry Ellenson
Andre Drummond
Stanley Johnson
Darrun Hilliard
Tobias Harris
Marcus Morris
Reggie Bullock
Reggie Jackson
Beno Udrih
Ish Smith
Boban Marjanovic
Aron Baynes
Jon Leuer
------ 2016-2017 Golden State Warriors Roster Composition ------
Stephen Curry
Klay Thompson
Draymond Green
Kevon Looney
Damian Jones
Patrick McCaw
Andre Iguodala
JaVale McGee
James McAdoo
Ian Clark
David West
Zaza Pachulia
Kevin Durant
Shaun Livingston
Matt Barnes
------ 2016-2017 Houston Rockets Roster Composition ------
Clint Capela
Chinanu Onuaku
Montrezl Harrell
Sam Dekker
Lou Williams
Trevor Ariza
James Harden
Troy Williams
Kyle Wiltjer
Isaiah Taylor
Ryan Anderson
Patrick Beverley
Bobby Brown
Nene Hilario
Eric Gordon
------ 2016-2017 Indiana Pacers Roster Composition ------
Georges Niang
Paul George
Joe Young
Myles Turner
Rakeem Christmas
Lavoy Allen
Jeff Teague
Thaddeus Young
C.J. Miles
Lance Stephenson
Monta Ellis
Glenn Robinson
Kevin Seraphin
Aaron Brooks
Al Jefferson
------ 2016-2017 Los Angeles Clippers Roster Composition ------
Blake Griffin
DeAndre Jordan
Brice Johnson
Diamond Stone
Austin Rivers
Chris Paul
J.J. Redick
Jamal Crawford
Alan Anderson
Luc Mbah a Moute
Brandon Bass
Marreese Speights
Raymond Felton
Wesley Johnson
Paul Pierce
------ 2016-2017 Los Angeles Lakers Roster Composition ------
Julius Randle
Brandon Ingram
Larry Nance, Jr.
D'Angelo Russell
Ivica Zubac
Jordan Clarkson
Tyler Ennis
Corey Brewer
Tarik Black
Luol Deng
Timofey Mozgov
Thomas Robinson
David Nwaba
Nick Young
Metta World Peace
------ 2016-2017 Memphis Grizzlies Roster Composition ------
Wade Baldwin IV
Mike Conley
Jarell Martin
Marc Gasol
Deyonta Davis
Andrew Harrison
Zach Randolph
Troy Daniels
Tony Allen
Chandler Parsons
Vince Carter
Wayne Selden
Brandan Wright
JaMychal Green
James Ennis
------ 2016-2017 Miami Heat Roster Composition ------
Josh Richardson
Justise Winslow
Goran Dragic
Luke Babbitt
Chris Bosh
James Johnson
Willie Reed
Okaro White
Tyler Johnson
Rodney McGruder
Wayne Ellington
Josh McRoberts
Hassan Whiteside
Dion Waiters
Udonis Haslem
------ 2016-2017 Milwaukee Bucks Roster Composition ------
John Henson
Jabari Parker
Giannis Antetokounmpo
Rashad Vaughn
Malcolm Brogdon
Thon Maker
Michael Beasley
Khris Middleton
Tony Snell
Matt Dellavedova
Spencer Hawes
Jason Terry
Mirza Teletovic
Gary Payton II
Greg Monroe
------ 2016-2017 Minnesota Timberwolves Roster Composition ------
Zach LaVine
Nikola Pekovic
Ricky Rubio
Karl-Anthony Towns
Kris Dunn
Shabazz Muhammad
Tyus Jones
Nemanja Bjelica
Gorgui Dieng
Andrew Wiggins
Adreian Payne
Omri Casspi
Brandon Rush
Jordan Hill
Cole Aldrich
------ 2016-2017 New Orleans Pelicans Roster Composition ------
Anthony Davis
Cheick Diallo
Omer Asik
Jrue Holiday
DeMarcus Cousins
Quincy Pondexter
Alexis Ajinca
Dante Cunningham
Quinn Cook
Jordan Crawford
E'Twaun Moore
Donatas Motiejunas
Solomon Hill
Axel Toupane
Tim Frazier
------ 2016-2017 New York Knicks Roster Composition ------
Kristaps Porzingis
Willy Hernangomez
Carmelo Anthony
Derrick Rose
Kyle O'Quinn
Justin Holiday
Joakim Noah
Lance Thomas
Mindaugas Kuzminskas
Chasson Randle
Marshall Plumlee
Sasha Vujacic
Ron Baker
Courtney Lee
Maurice Ndour
------ 2016-2017 Oklahoma City Thunder Roster Composition ------
Nick Collison
Alex Abrines
Steven Adams
Russell Westbrook
Josh Huestis
Domantas Sabonis
Semaj Christon
Andre Roberson
Doug McDermott
Taj Gibson
Jerami Grant
Victor Oladipo
Enes Freedom
Kyle Singler
Norris Cole
------ 2016-2017 Orlando Magic Roster Composition ------
Aaron Gordon
Stephen Zimmerman
Mario Hezonja
Elfrid Payton
Nikola Vucevic
Terrence Ross
Evan Fournier
Jodie Meeks
Patricio Garino
Damjan Rudez
Marcus Georges-Hunt
C.J. Watson
D.J. Augustin
Bismack Biyombo
Jeff Green
------ 2016-2017 Philadelphia Sixers Roster Composition ------
Richaun Holmes
Jahlil Okafor
Timothe Luwawu-Cabarrot
Ben Simmons
Joel Embiid
Dario Saric
Justin Anderson
Nik Stauskas
Tiago Splitter
Gerald Henderson
Sergio Rodriguez
Robert Covington
Shawn Long
Alex Poythress
T.J. McConnell
Jerryd Bayless
------ 2016-2017 Phoenix Suns Roster Composition ------
Dragan Bender
Tyler Ulis
T.J. Warren
Devin Booker
Alex Len
Marquese Chriss
Brandon Knight
Eric Bledsoe
Elijah Millsap
Tyson Chandler
Jared Dudley
Ronnie Price
Leandro Barbosa
Alan Williams
Derrick Jones
------ 2016-2017 Portland Trail Blazers Roster Composition ------
Meyers Leonard
C.J. McCollum
Damian Lillard
Pat Connaughton
Jake Layman
Allen Crabbe
Noah Vonleh
Shabazz Napier
Jusuf Nurkic
Maurice Harkless
Al-Farouq Aminu
Festus Ezeli
Tim Quarterman
Ed Davis
Evan Turner
------ 2016-2017 Sacramento Kings Roster Composition ------
Ben McLemore
Willie Cauley-Stein
Malachi Richardson
George Papagiannis
Skal Labissiere
Rudy Gay
Tyreke Evans
Buddy Hield
Langston Galloway
Darren Collison
Anthony Tolliver
Ty Lawson
Kosta Koufos
Garrett Temple
Arron Afflalo
------ 2016-2017 San Antonio Spurs Roster Composition ------
Dejounte Murray
Manu Ginobili
Kyle Anderson
Tony Parker
Davis Bertans
Kawhi Leonard
Pau Gasol
Danny Green
Patty Mills
David Lee
Bryn Forbes
Dewayne Dedmon
LaMarcus Aldridge
Jonathon Simmons
Joel Anthony
------ 2016-2017 Toronto Raptors Roster Composition ------
Bruno Caboclo
Jakob Poeltl
Pascal Siakam
DeMar DeRozan
Delon Wright
Jonas Valanciunas
Norman Powell
Lucas Nogueira
P.J. Tucker
Patrick Patterson
Serge Ibaka
Kyle Lowry
Fred VanVleet
Cory Joseph
DeMarre Carroll
------ 2016-2017 Utah Jazz Roster Composition ------
Joel Bolomboy
Gordon Hayward
Alec Burks
Rodney Hood
Dante Exum
Trey Lyles
Raulzinho Neto
Rudy Gobert
Boris Diaw
George Hill
Shelvin Mack
Derrick Favors
Joe Johnson
Jeff Withey
Joe Ingles
------ 2016-2017 Washington Wizards Roster Composition ------
Otto Porter
Tomas Satoransky
Bradley Beal
John Wall
Kelly Oubre, Jr.
Bojan Bogdanovic
Trey Burke
Markieff Morris
Chris McCullough
Marcin Gortat
Brandon Jennings
Sheldon Mac
Ian Mahinmi
Daniel Ochefu
Jason Smith
